화장실명,구분명,소재지도로명주소,소재지지번주소,개방시간,개방시간상세,비상벨설치여부,전화번호,위도,경도
금성천 우수저류지,간이화장실,,제주특별자치도 제주시 애월읍 금성리 888-8 일원,상시,,N,,33.4338559,126.3025734
제주시청4별관,개방화장실,제주특별자치도 제주시 동광로2길 13,,정시,09:00~18:00,N,0647282424,33.5002069,126.5311251
금등소공원,공중화장실,,제주특별자치도 제주시 한경면 금등리 697-3,상시,,N,0647287954,33.3610596,126.1919975
관음사 입구 공중화장실,공중화장실,제주특별자치도 제주시 산록북로 660,,상시,24시간,Y,0647282772,33.4217204,126.5587508
산호사,공중화장실,,제주특별자치도 제주시 우도면 연평리 2565,상시,,Y,0647284342,33.5019020,126.9438064
제주시청 시민화장실,개방화장실,제주특별자치도 제주시 광양9길 10,,상시,24시간,Y,0647282423,33.5002142,126.5322175
한림중앙상가(2층서쪽),공중화장실,제주특별자치도 제주시 한림읍 한림북동길 2,,정시,09:00~18:00,Y,0647287631,33.4155049,126.2648394
하가연하못옆,공중화장실,제주특별자치도 제주시 애월읍 하가로 182,,상시,,Y,0647288866,33.4550411,126.3468482
서우봉해변(관리사무소동쪽),공중화장실,제주특별자치도 제주시 조함해안로 525,제주특별자치도 제주시 조천읍 함덕리 산14-1,상시,,Y,0647287882,33.5428268,126.6705103
신대,공중화장실,,제주특별자치도 제주시 추자면 예초리 75,상시,,N,0647284283,,
해녀박물관(신관1층),개방화장실,제주특별자치도 제주시 해녀박물관길 26,,정시,09:00~18:00,Y,06471077758,33.5236099,126.8634256
신양리 동쪽 방파제 입구,공중화장실,제주특별자치도 제주시 신양2길 28-8,제주특별자치도 제주시 추자면 신양리 434-1,상시,,Y,0647284283,,
아라2근린공원,개방화장실,제주특별자치도 제주시 인다13길 47,,상시,24시간,Y,0647283605,33.4730020,126.5502653
해녀박물관(본관지하),개방화장실,제주특별자치도 제주시 해녀박물관길 26,,정시,09:00~18:00,Y,06471077755,33.5236099,126.8634256
연화로 공영주차장,개방화장실,제주특별자치도 제주시 연화로2길 17-4,,정시,09:00~18:00,Y,0647283823,33.4776424,126.4892761
이호비치,공중화장실,제주특별자치도 제주시 서해안로 45-18,,상시,,Y,0647284935,33.4997094,126.4549492
후포 해안변 공원,공중화장실,제주특별자치도 제주시 추자면 대서 5길 87,,상시,,Y,0647284283,,
팔각정 공원,공중화장실,,제주특별자치도 제주시 추자면 대서리 2-11,상시,,Y,0647284283,,
관곶,공중화장실,,제주특별자치도 제주시 조천읍 신흥리 792-2,상시,,Y,0647287862,33.5532524,126.6442917
연북정,공중화장실,제주특별자치도 제주시 조천북1길 11-13,제주특별자치도 제주시 조천읍 조천리 2714-5,상시,,Y,0647287862,33.5409582,126.6355423
낙천테마마을,공중화장실,제주특별자치도 제주시 한경면 낙수로 97,,상시,,Y,0647287954,33.3279027,126.2262550
신양항,공중화장실,제주특별자치도 제주시 추자면 석두리길 25,,상시,24시간,Y,0647283384,,
홍조단괴 탈의장(서빈백사),공중화장실,제주특별자치도 제주시 우도해안길 256,제주특별자치도 제주시 우도면 연평리 2512-3,상시,,Y,0647284342,33.5030272,126.9433123
내도운동장,공중화장실,제주특별자치도 제주시 테우해안로 65,제주특별자치도 제주시 내도동 461-4,상시,,Y,0647288314,33.4967537,126.4416426
닭머루,공중화장실,제주특별자치도 제주시 조천읍 원당북로 197-3,,상시,,Y,0647287862,33.5326924,126.6139882
추자교량,공중화장실,,제주특별자치도 제주시 추자면 영흥리 100-1,상시,,Y,0647284283,,
목게,공중화장실,,제주특별자치도 제주시 추자면 대서리 산186,상시,,Y,0647284283,,
우도 주민자치센터,개방화장실,제주특별자치도 제주시 영일진사길 15-5,,정시,09:00~18:00,N,,33.5071534,126.9558735
사라봉공원(서쪽),개방화장실,제주특별자치도 제주시 사라봉동길 74,,상시,24시간,Y,0647283605,33.5186634,126.5476898
양지공원 제2추모의집 화장실,개방화장실,제주특별자치도 제주시 516로 2810-31,,상시,24시간,Y,0647106623,33.4404996,126.5789027
자치행정과(소통협력센터),개방화장실,제주특별자치도 제주시 관덕로 44,,정시,09:00~18:00,Y,07044577744,33.5128280,126.5239291
건강증진과(치매안심센터),개방화장실,제주특별자치도 제주시 연삼로 264,,정시,09:00~18:00,Y,,33.4915999,126.5202379
추석산,공중화장실,,제주특별자치도 제주시 추자면 신양리 산20-2임,상시,,N,0647284283,,
오라동,개방화장실,제주특별자치도 제주시 오라로10길 6,,정시,09:00~18:00,Y,,33.4951474,126.5115919
삼도2동,개방화장실,제주특별자치도 제주시 관덕로6길 15,,정시,09:00~18:00,Y,,33.5117393,126.5222136
성판악 속밭 화장실,개방화장실,제주특별자치도 제주시 조천읍 516로 1865,,상시,24시간,N,0647107826,33.3844995,126.6194071
연대,공중화장실,,제주특별자치도 제주시 외도2동 1956-53,상시,,Y,0647288314,33.4946216,126.4270147
해신사,공중화장실,제주특별자치도 제주시 진북길 13-1,,상시,,Y,0647288153,33.5244295,126.5655262
삼양삼동 공중화장실,공중화장실,,제주특별자치도 제주시 삼양3동 2621-9,상시,,Y,0647288178,33.5274289,126.5765560
검멀레,공중화장실,제주특별자치도 제주시 우도해안길 1142,제주특별자치도 제주시 우도면 연평리 318-2,상시,,Y,0647284342,33.4981138,126.9666251
제주소방서 1층 화장실,개방화장실,제주특별자치도 제주시 중앙로 342,,정시,09:00~18:00,N,0647290142,33.4908890,126.5366593
아라동 다목적운동장,간이화장실,제주특별자치도 제주시 아라이동1360-14,,상시,,Y,0647288202,33.4875425,126.5435227
올레길안내소,공중화장실,제주특별자치도 제주시 해녀박물관길 11,제주특별자치도 제주시구좌읍 상도리 471-43,상시,,Y,0647287745,33.5220047,126.8626785
신촌어촌정주어항,공중화장실,,제주특별자치도 제주시 조천읍 신촌리 2077-7지선,상시,,Y,0647287862,33.5377808,126.6197253
휴양팬션,공중화장실,제주특별자치도 제주시 추자면 추자로 500,,상시,,Y,0647284283,,
검멀레 주차장,공중화장실,제주특별자치도 제주시 우도면 우도해안길 1142,,상시,,Y,0647284342,33.4981138,126.9666251
신창싱계물,공중화장실,,제주특별자치도 제주시 한경면 신창리 1321-2,상시,,Y,0647287954,33.3428123,126.1744632
새별오름 들불축제장,공중화장실,제주특별자치도 제주시 평화로 1491,,정시,06:00~18:00,Y,0647282765,33.3625041,126.3597363
평대해수욕장,공중화장실,,제주특별자치도 제주시 구좌읍 평대리 1994-6지선,상시,,Y,0647287745,33.5329308,126.8407632
양식단지 앞,공중화장실,제주특별자치도 제주시 행원로13길 130-27,제주특별자치도 제주시 구좌읍 행원리 563,상시,,N,0647287745,33.5591204,126.8141722
해녀박물관(신관3층),개방화장실,제주특별자치도 제주시 해녀박물관길 26,,정시,09:00~18:02,Y,06471077760,33.5236099,126.8634256
제주특별자치도청 제1청사 화장실,개방화장실,제주특별자치도 제주시 문연로 6,,정시,09:00~18:00,Y,0647106937,33.4882207,126.4977226
구좌읍 다목적문화센터,개방화장실,제주특별자치도 제주시 일주동로 3116,,정시,09:00~18:00,N,,33.5221393,126.8518858
용담2동,개방화장실,제주특별자치도 제주시 흥운길 27,,정시,09:00~18:00,Y,,33.5114920,126.5116704
구좌읍사무소,개방화장실,제주특별자치도 제주시 일주동로 3116,,정시,09:00~18:00,N,,33.5221393,126.8518858
한경체육관,개방화장실,제주특별자치도 제주시 칠전로 41,,정시,09:00~18:00,Y,,33.3015196,126.1845077
제주항 국제여객터미널(1층 매표소),개방화장실,제주특별자치도 제주시 임항로 191,,정시,04:30~21:00,Y,0647108693,33.5258374,126.5440785
신엄농산물 직거래장터,공중화장실,,제주특별자치도 제주시 애월읍 신엄리 3092,상시,,Y,0647288866,33.4692731,126.3601919
오당빌레,공중화장실,,제주특별자치도 제주시 애월읍 하가리 846-1,상시,,Y,0647288866,33.4539567,126.3517790
거슨새미오름주차장,공중화장실,제주특별자치도 제주시 비자림로 1455,제주특별자치도 제주시 구좌읍 송당리 산145-2,상시,,N,0647287745,33.4459253,126.7570203
이도1동청소년문화의집,개방화장실,"제주특별자치도 제주시 서광로29길 17, 제주시참사랑문화의집 (이도일동)",제주특별자치도 제주시 이도일동 1664-7 제주시참사랑문화의집,정시,(평일)09:00~20:00+(주말)09:00~18:00),N,,33.5017931,126.5262163
도남청소년문화의집,개방화장실,"제주특별자치도 제주시 도남로12길 8, 도남청소년문화의집 (도남동)",제주특별자치도 제주시 도남동 57-4 도남청소년문화의집,정시,(평일)09:00~20:00+(주말)09:00~18:00),N,,33.4929543,126.5274735
노형 신비의도로,공중화장실,제주특별자치도 제주시 노형동 291-25,,상시,24시간,Y,0647282765,33.4498142,126.4872719
중앙로상점가 주차장 한짓골,공중화장실,제주특별자치도 제주시 중앙로 85,,상시,24시간,Y,0647282827,33.5106281,126.5241614
삼양축구장,개방화장실,제주특별자치도 제주시 원당북로45,,정시,08:00~22:00,Y,0647283279,33.5326445,126.5981779
돗오름 주차장,공중화장실,,제주특별자치도 제주시 구좌읍 평대리 산 16,상시,,Y,0647287753,33.4819894,126.8017423
함덕오일시장,공중화장실,제주특별자치도 제주시 조천읍 함덕16길 15-13,,상시,,Y,0647287875,33.5402527,126.6679607
조수돗곳물,공중화장실,,제주특별자치도 제주시한경면 조수리 1902-1,상시,,Y,0647287954,33.3373805,126.2215682
상하수도본부내 화장실,개방화장실,제주특별자치도 제주시 중산간동로 601,,정시,09:00~18:00,N,0647507723,33.4995583,126.6501372
"돌문화공원 야외화장실(2코스, 3코스, 미아보호소)",공중화장실,제주특별자치도 제주시 남조로 2023,,정시,"09:00~18:00+휴원일 미개방(매주 월요일, 1월1일, 설날 및 추석 당일)",Y,0647107732,33.4513306,126.6566618
횡간도2,공중화장실,제주특별자치도 제주시 횡간도길 51,제주특별자치도 제주시 추자면 대서리 산98,상시,,N,0647284283,,
서부농업기술센터(야외화장실),개방화장실,제주특별자치도 한림읍 월림7길 90,,상시,24시간,N,0647107911,33.3534662,126.2476976
김창열미술관 야외화장실,개방화장실,제주특별자치도 제주시 한림읍 용금로 883-5,,정시,09:00~18:00,N,0647104150,33.3390713,126.2686717
동문공설시장 청년몰(입구 밖),공중화장실,제주특별자치도 제주시 동문로4길 9,,상시,24시간,Y,0647282827,33.5120874,126.5282423
금악오름,공중화장실,,제주특별자치도 제주시 한림읍 금악리 1210,상시,24시간,Y,0647287652,33.3509365,126.3058958
궤물동산,공중화장실,제주특별자치도 제주시 한림읍 귀덕9길 21-1,,상시,24시간,Y,0647287652,33.4426135,126.2896260
동백동산(습지센타 주차장),개방화장실,제주특별자치도 제주시 조천읍 동백로 77,,상시,24시간,Y,0647282742,33.5096986,126.7156672
도두봉 섬머리,공중화장실,제주특별자치도 제주시 서해안로 197,,상시,,Y,0647284962,33.5060304,126.4689948
샛도리물,공중화장실,,제주특별자치도 제주시 삼양1동 1938-3,상시,,Y,0647288178,33.5292740,126.5892402
김녕항 요트학교 옆,공중화장실,제주특별자치도 제주시 구좌읍 구좌해안로 229-16,,상시,24시간,Y,0647283384,33.5582479,126.7372598
어리목 제2주차장 화장실,개방화장실,제주특별자치도 제주시 1100로 2073,,상시,24시간,N,0647107826,33.3898045,126.4850041
제주항 5부두 임항창고,개방화장실,제주특별자치도 제주시 임항로 173,,상시,24시간,Y,0647108693,33.5233784,126.5408201
삼무공원,개방화장실,제주특별자치도 제주시 신대로10길 50,,상시,24시간,Y,0647283605,33.4911071,126.4913412
정든로 공영주차장,개방화장실,제주특별자치도 제주시 정든로 37,제주특별자치도 제주시 이도2동 429-7,정시,09:00~18:00,Y,0647283823,33.4975689,126.5423969
건입동,개방화장실,제주특별자치도 제주시 만덕로 18,,정시,09:00~18:00,N,,33.5150497,126.5315034
중엄소공원,공중화장실,,제주특별자치도 제주시 애월읍 신엄리 961,상시,,Y,0647288866,33.4778870,126.3693956
제주항 연안여객터미널(2층 복도),개방화장실,제주특별자치도 제주시 임항로 111,,정시,04:30~21:00,Y,0647108693,33.5200407,126.5342262
제39호 어린이공원(수운공원서쪽),개방화장실,,제주특별자치도 제주시 이도2동 375-1,상시,24시간,Y,0647283605,33.4793545,126.5235735
일도1동,개방화장실,제주특별자치도 제주시 중앙로7길 15,,정시,09:00~18:00,Y,,33.5150583,126.5263771
칠성로상점가(제주시 활성화 구역내),공중화장실,제주특별자치도 제주시 관덕로13길 12,,정시,06:00~23:00,Y,0647282827,33.5140257,126.5261153
아라 신비의도로,공중화장실,제주특별자치도 제주시 산록북로 813,,상시,24시간,Y,0647282765,33.4362854,126.5551117
어영공원,공중화장실,제주특별자치도 제주시 사서해안로 451,,상시,,Y,0647284636,,
산지천,공중화장실,제주특별자치도 제주시 관덕로17길 13-1,,상시,,Y,0647284416,33.5140232,126.5277452
체육진흥과,개방화장실,,제주특별자치도 제주시 오라일동 3817-2,정시,09:00~18:00,Y,0647283279,33.4938276,126.5146880
상추자대합실,공중화장실,제주특별자치도 제주시 추자면 추자로 3,,상시,,Y,0647284283,,
동문공설시장 신주차장 (캐리어보관실),공중화장실,,제주특별자치도 제주시 일도1동 1104,상시,,Y,0647282827,33.5120656,126.5285990
주경기장 2층(내3문),개방화장실,제주특별자치도 제주시 서광로2길 24,,상시,24시간,Y,0647283279,33.4950629,126.5187972
동부보건소,개방화장실,제주특별자치도 제주시 김녕로14길 6,,정시,09:00~18:00,N,,33.5543515,126.7513280
해녀박물관(본관3층),개방화장실,제주특별자치도 제주시 해녀박물관길 26,,정시,09:00~18:00,Y,06471077757,33.5236099,126.8634256
금능리포구(도시계획과),공중화장실,제주특별자치도 제주시 한림읍 금능7길 14-8,,상시,24시간,Y,0647287652,33.3896186,126.2289089
새별오름부리부리화장실,공중화장실,제주특별자치도 제주시 애월읍 평화로 1491-3,,상시,,Y,0647288866,33.3629888,126.3583544
제주시청6별관,개방화장실,제주특별자치도 제주시 광양9길 15,,정시,09:00~18:00,N,0647282424,33.5002947,126.5313211
관음사 탐라계곡 화장실,개방화장실,제주특별자치도 제주시 오라이동 산 107-20,,상시,24시간,N,0647107826,33.3894181,126.5282050
양지공원 화장동 화장실,개방화장실,제주특별자치도 제주시 516로 2810-31,,정시,07:00~18:00,Y,0647106623,33.4404996,126.5789027
어리목 탐방안내소 화장실,개방화장실,제주특별자치도 제주시 1100로 2070-61,,상시,24시간,N,0647107826,33.3926868,126.4948405
보건행정과,개방화장실,제주특별자치도 제주시 연삼로 264,,정시,09:00~18:00,Y,,33.4915999,126.5202379
동복어촌정주어항,공중화장실,,제주특별자치도 제주시  구좌읍 동복리 1585-2지선,상시,,N,0647287745,33.5550727,126.7140609
지미봉주차장,공중화장실,,제주특별자치도 제주시 구좌읍 종달리 산2,상시,,Y,0647287745,33.4974138,126.9055263
교래자연휴양림 야영장,개방화장실,제주특별자치도 제주시 남조로 2023,,상시,00:00~24:00,Y,0647107476,33.4513306,126.6566618
노형동(주민자치센터),개방화장실,제주특별자치도 제주시 노형9길 9-4,,정시,09:00~18:00,N,,33.4828816,126.4769921
김진사 생가터,공중화장실,제주특별자치도 제주시 영일진사길 76,,상시,,Y,0647284342,33.5022213,126.9594040
관음사 삼각봉 화장실,개방화장실,제주특별자치도 제주시 오라이동 산 107-20,,상시,24시간,N,0647107826,33.3894181,126.5282050
"신산공원2(서쪽, 하천옆)",개방화장실,,제주특별자치도 제주시 일도2동 915,상시,24시간,Y,0647283605,33.5047361,126.5321524
미리내공원,개방화장실,제주특별자치도 제주시 미리내길84,,정시,09:00~18:00,Y,0647283279,33.4583632,126.4790934
바리메오름주차장,공중화장실,,제주특별자치도 제주시 애월읍 어음리 산21,상시,,N,0647288866,33.3776829,126.3871135
제주시 서부보건소 별관,개방화장실,제주특별자치도 제주시 강구로 5,,정시,09:00~18:00,N,,33.4120836,126.2695292
톨칸이,공중화장실,,제주특별자치도 제주시 우도면 연평리 1723,상시,,Y,0647284342,33.4915309,126.9562322
모진이,공중화장실,제주특별자치도 제주시 추자면 신양리 47지선,,상시,,Y,0647284283,,
제주시청3별관,개방화장실,제주특별자치도 제주시 광양9길 17,,정시,09:00~18:00,N,0647282424,33.5003810,126.5315149
대서광장,공중화장실,,제주특별자치도 제주시 추자면 대서리 147-16,상시,,Y,0647284283,,
곽지해수욕장 서측(관광진흥과),공중화장실,제주특별자치도 제주시 애월읍 곽지1길 31,,상시,,Y,0647288883,33.4485059,126.3030938
월대천,공중화장실,,제주특별자치도 제주시 외도2동 2552-7,상시,,Y,0647288314,33.4927631,126.4363337
도두 오래물,공중화장실,제주특별자치도 제주시 서해안로 170,,상시,,Y,0647284962,33.5043018,126.4668250
삼양해수욕장,공중화장실,제주특별자치도 제주시 선사로8길 15,제주특별자치도 제주시 삼양1동 1569-43,상시,,Y,0647288178,33.5257402,126.5868793
구좌충혼묘지,공중화장실,제주특별자치도 제주시 충렬로 62-7,제주특별자치도 제주시 구좌읍 세화리 1085-6,상시,,Y,0647287745,33.5172241,126.8514013
용눈이오름 주차장,공중화장실,,제주특별자치도 제주시 구좌읍 종달리 4650,상시,,Y,0647287745,33.4625405,126.8320033
오지박,공중화장실,,제주특별자치도 제주시 추자면 묵리 산39-3,상시,,Y,0647284283,,
묵리(방파제 입구),공중화장실,제주특별자치도 제주시 추자로 376-3,제주특별자치도 제주시 추자면 묵리 731-5,상시,,Y,0647284283,,
노형동주민센터,개방화장실,제주특별자치도 제주시 노형9길 9-4,,정시,09:00~18:00,N,,33.4828816,126.4769921
한림중앙상가(2층 동쪽),공중화장실,제주특별자치도 제주시 한림읍 한림북동길 2,,정시,09:00~18:00,Y,0647287631,33.4155049,126.2648394
월랑봉,공중화장실,,제주특별자치도 제주시 구좌읍 세화리 2705,상시,,Y,0647287745,33.4750170,126.8265183
추포도,공중화장실,제주특별자치도 제주시 추포도길 30,제주특별자치도 제주시 추자면 예초리 산107번지내,상시,,N,0647284283,,
에코촌 유스호스텔 주차장,개방화장실,제주특별자치도 제주시 조천읍 북흘로 376-9,,상시,24시간,Y,0647282193,33.5169099,126.7037199
불탑사 공중화장실,공중화장실,제주특별자치도 제주시 원당로16길 47,,상시,24시간,Y,0647282772,33.5292758,126.5989225
설문대여성문화센터 화장실,개방화장실,제주특별자치도 제주시 선덕로8길 12,,정시,09:00~18:00,Y,0647104216,33.4843970,126.5003713
제주항 연안여객터미널(1층 매표소),개방화장실,제주특별자치도 제주시 임항로 111,,정시,04:30~21:00,Y,0647108693,33.5200407,126.5342262
노형동(해안동 문화의집),개방화장실,제주특별자치도 제주시 해안마을7길 1-1,,정시,09:00~18:00,N,,33.4555060,126.4550021
야외화장실(선용품점),개방화장실,제주특별자치도 제주시 임항로 191,,상시,24시간,Y,0647108693,33.5258374,126.5440785
문화예술과(해변공연장),개방화장실,제주특별자치도 제주시 중앙로 2,,정시,09:00~18:00,Y,0647283966,33.5181476,126.5239547
제주아트센터 외부 화장실,개방화장실,제주특별자치도 제주시 오남로 231,,상시,24시간,Y,0647288962,33.4751044,126.5155186
신양항 광장,공중화장실,제주특별자치도 제주시 추자로 576,제주특별자치도 제주시 추자면 신양리 434-9,상시,,Y,0647284283,,
노형 제1근린공원(백록초층 옆),개방화장실,제주특별자치도 제주시 정존5길 67,,상시,24시간,Y,0647283605,33.4865534,126.4692421
항일기념관(서쪽),공중화장실,제주특별자치도 제주시 조천읍 신북로 303,,상시,00:00~24:00,Y,0647107794,33.5410273,126.6407255
항일기념관(동쪽),공중화장실,제주특별자치도 제주시 조천읍 신북로 303,,상시,00:00~24:00,Y,0647107794,33.5410273,126.6407255
교래마을운동장,공중화장실,,제주특별자치도 제주시 조천읍 교래리 188,상시,,N,0647287862,33.4229548,126.6753511
저지오름,공중화장실,,제주특별자치도 제주시 한경면 저지리 산50-8,상시,,Y,0647287954,33.3311385,126.2542931
자구네 해적잠수함,공중화장실,,제주특별자치도 제주시 한경면 고산리 3615-11,상시,,Y,0647287954,33.3077674,126.1639240
별도봉산책로,공중화장실,제주특별자치도 제주시 별도봉길 3-19,,상시,,Y,0647288153,33.5183653,126.5573907
서우봉해변(관리사무소),공중화장실,제주특별자치도 제주시 조천읍 조함해안로 534,,상시,,Y,0647287882,33.5424205,126.6701037
구좌읍 주민자치센터,개방화장실,제주특별자치도 제주시 일주동로 3116,,정시,09:00~18:00,N,,33.5221393,126.8518858
어리목 윗세오름 화장실,개방화장실,제주특별자치도 제주시 1100로 2070-510,,상시,24시간,N,0647107826,33.3619950,126.5176418
양지공원 관리동 2층 화장실,개방화장실,제주특별자치도 제주시 516로 2810-31,,정시,07:00~18:00,Y,0647106623,33.4404996,126.5789027
납읍난대림,공중화장실,제주특별자치도 제주시 애월읍 납읍로2길 36,,상시,,Y,0647288866,33.4356847,126.3297999
월령리(월령포구),공중화장실,,제주특별자치도 제주시 한림읍 월령리 344-2 서쪽 공유수면,상시,,Y,0647287652,33.3806181,126.2148396
한림오일시장(남측),공중화장실,제주특별자치도 제주시 한림읍 한수풀로4길 10,,상시,24시간,Y,0647287661,33.4198325,126.2745037
김녕해수욕장,공중화장실,제주특별자치도 제주시 해맞이해안로 7-6,제주특별자치도 제주시  구좌읍 김녕리 497-4,상시,,Y,0647287745,33.5571073,126.7598386
미수동포구,공중화장실,,제주특별자치도 제주시 애월읍 하귀2리 1656-6,상시,,N,0647288866,33.4847606,126.4018445
절물자연휴양림 1,개방화장실,제주특별자치도 제주시 명림로 584,,상시,24시간,Y,0647283637,33.4400493,126.6252036
한라생태숲 주차장 공중화장실,개방화장실,제주특별자치도 제주시516로2596 한라생태숲,,상시,00:00~24:00,Y,0647108682,33.4307713,126.5964042
도두동주민센터,개방화장실,제주특별자치도 제주시 도두1길 9-1,,정시,09:00~18:00,Y,,33.5028293,126.4680924
고용복지플러스센터 화장실,개방화장실,제주특별자치도 제주시 중앙로 165,,정시,09:00~18:00,Y,0647104452,33.5043812,126.5270712
기상청 인근,공중화장실,제주특별자치도 제주시 만덕로6길 24-6,,상시,,Y,0647284416,33.5135967,126.5295611
추자면,개방화장실,제주특별자치도 제주시 추자로 26,,정시,09:00~18:00,N,,,
이도2동,개방화장실,제주특별자치도 제주시 오복3길 8,,정시,09:00~18:00,Y,,33.4970696,126.5353012
다락쉼터,공중화장실,제주특별자치도 제주시 애월읍 애월해안로 288,,상시,,Y,0647288866,33.4699467,126.3406765
애월읍충혼묘지,공중화장실,,제주특별자치도 제주시 애월읍 수산리 산1-1,상시,,Y,0647288866,33.4738175,126.3828394
우도 생활문화센터,개방화장실,제주특별자치도 제주시 우도면 영일진사길 15-5,제주특별자치도 제주시 우도면 연평리 1393,정시,09:00~18:00,N,,33.5071534,126.9558735
"목지코지(좀녀네집앞,해안)",공중화장실,,제주특별자치도 제주시 구좌읍 김녕리 6147,상시,,Y,0647287745,33.5599068,126.7299129
제주항 국제여객터미널(2층 출국대기장),개방화장실,제주특별자치도 제주시 임항로 191,,정시,04:30~21:00,Y,0647108693,33.5258374,126.5440785
칠성공영주차장(칠성로 차없는거리),개방화장실,제주특별자치도 제주시 임항로 8,,상시,,Y,0647284571,33.5165151,126.5252465
제주 아트센터,개방화장실,제주특별자치도 제주시 오남로 231,,정시,09:00~18:00,Y,,33.4751044,126.5155186
예초리,공중화장실,,제주특별자치도 제주시 추자면 예초리 200-5,상시,,Y,0647284283,,
한경면,개방화장실,제주특별자치도 제주시 두신로 84,,정시,09:00~18:00,Y,,33.3501105,126.1841050
제주항 3부두 임항창고,개방화장실,제주특별자치도 제주시 임항로 127,,상시,24시간,Y,0647108693,33.5204360,126.5376166
도두봉공원,개방화장실,제주특별자치도 제주시 도두항길 4-17,,상시,24시간,Y,0647283605,33.5067627,126.4672257
일도체육공원(근린공원내),개방화장실,제주특별자치도 제주시 연수로 12,,상시,,Y,0647288023,33.5039109,126.5465193
청수 곶자왈,공중화장실,,제주특별자치도 제주시 한경면 청수리 97,상시,,N,0647287954,33.3059961,126.2619112
한림매일시장,공중화장실,,제주특별자치도 제주시 한림읍 한림리 1314-200,상시,24시간,Y,0647287652,33.4161798,126.2637652
제주도립미술관 야외화장실1,개방화장실,제주특별자치도 제주시 1100로 2894-78,,상시,00:00~24:00,Y,0647104300,33.4525500,126.4896861
제주시청1별관,개방화장실,제주특별자치도 제주시 광양9길 10,,정시,09:00~18:00,N,0647282424,33.5002142,126.5322175
동문공설시장(시장입구-10번 게이트),공중화장실,제주특별자치도 제주시 동문로4길 9,,상시,24시간,Y,0647282827,33.5120874,126.5282423
오백장군갤러리 화장실,공중화장실,제주특별자치도 제주시 남조로 2023,,정시,"09:00~18:00+휴원일 미개방(매주 월요일, 1월1일, 설날 및 추석 당일)",Y,0647107732,33.4513306,126.6566618
이도2동 주민센터 앞 주차장,개방화장실,제주특별자치도 제주시 오복3길 9,,정시,09:00~18:30,Y,0647283827,33.4967902,126.5349279
우도봉담수장,공중화장실,,제주특별자치도 제주시 우도면 연평리 383-1,상시,,Y,0647284342,33.4966741,126.9621295
하추자대합실,공중화장실,제주특별자치도 제주시 추자면 신양2길 28-3,,상시,,Y,0647284283,,
삼양동주민센터,개방화장실,제주특별자치도 제주시 지석13길 6,,정시,09:00~18:00,Y,,33.5218207,126.5855751
제42호 어린이공원(동광성당동쪽),개방화장실,제주특별자치도 제주시 태성로4길 23,,상시,24시간,Y,0647283605,33.4999827,126.5472875
절물자연휴양림 2,개방화장실,제주특별자치도 제주시 명림로 584,,상시,24시간,Y,0647283637,33.4400493,126.6252036
한림오일시장(북측),공중화장실,제주특별자치도 제주시 한림읍 대림리 1699,,상시,24시간,Y,0647287661,33.4207218,126.2738547
금능해수욕장(금능해변),공중화장실,제주특별자치도 제주시 한림읍 금능길 119-10,,상시,24시간,Y,0647287674,33.3904006,126.2362051
횡간도1,공중화장실,,제주특별자치도 제주시 추자면 대서리 산52 지선,상시,,N,0647284283,,
횡간도3,공중화장실,,제주특별자치도 제주시 추자면 대서리 산87,상시,,N,0647284283,,
남생이못,공중화장실,제주특별자치도 제주시 원당북로 197-3,제주특별자치도 제주시 조천읍 신촌리 2497,상시,,Y,0647287862,33.5326924,126.6139882
돌박물관 화장실,개방화장실,제주특별자치도 제주시 남조로 2023,,정시,"09:00~18:00+휴원일 미개방(매주 월요일, 1월1일, 설날 및 추석 당일)",Y,0647107732,33.4513306,126.6566618
월령주차장,공중화장실,제주특별자치도 제주시 한림읍 월령안길 27,,상시,24시간,Y,0647287652,,
귀덕1리 동방파제,공중화장실,제주특별자치도 제주시 한림읍 귀덕11길 23-3,,상시,24시간,Y,0647287652,33.4456458,126.2941110
한경보건지소,개방화장실,제주특별자치도 제주시 두신로 118-2,,정시,09:00~18:00,N,,33.3527641,126.1851816
서우봉해변(관리사무소앞),공중화장실,제주특별자치도 제주시 조함해안로 525,제주특별자치도 제주시 조천읍 함덕리 산14-1,상시,,Y,0647287882,33.5428268,126.6705103
관음사 야영장 화장실,개방화장실,제주특별자치도 제주시 산록북로 588,,상시,24시간,N,0647107826,33.4216134,126.5497576
사라봉공원(정상),개방화장실,제주특별자치도 제주시 사라봉동길 74,,상시,24시간,Y,0647283605,33.5186634,126.5476898
애월읍,개방화장실,제주특별자치도 제주시 일주서로 6322,,정시,09:00~18:00,Y,,33.4621497,126.3291845
제주시 서부보건소 본관,개방화장실,제주특별자치도 제주시 강구로 5,,정시,09:00~18:00,N,,33.4120836,126.2695292
고산수월봉,공중화장실,,제주특별자치도 제주시 한경면 고산리 3758-2,상시,,Y,0647287954,33.2945021,126.1637137
그린공원 배드민턴장,공중화장실,제주특별자치도 제주시 연수로 12,,상시,,Y,0647288023,33.5039109,126.5465193
일도1동 (문화의집),개방화장실,제주특별자치도 제주시 중앙로7길 15,,정시,09:00~18:00,Y,,33.5150583,126.5263771
백포어촌정주어항,공중화장실,제주특별자치도 제주시 서해안로 99,,상시,,Y,0647284935,33.5037502,126.4602275
